4.5000e-01	4.6910e+00
4.6000e-01	4.5870e+00
4.7000e-01	4.4970e+00
4.8000e-01	4.4190e+00
4.9000e-01	4.3500e+00
5.0000e-01	4.2940e+00
5.1000e-01	4.2410e+00
5.2000e-01	4.1930e+00
5.3000e-01	4.1510e+00
5.4000e-01	4.1120e+00
5.5000e-01	4.0770e+00
5.6000e-01	4.0450e+00
5.7000e-01	4.0150e+00
5.8000e-01	3.9880e+00
5.9000e-01	3.9630e+00
6.0000e-01	3.9400e+00
6.1000e-01	3.9180e+00
6.2000e-01	3.8980e+00
6.3000e-01	3.8790e+00
6.4000e-01	3.8610e+00
6.5000e-01	3.8440e+00
6.6000e-01	3.8280e+00
6.7000e-01	3.8130e+00
6.8000e-01	3.7980e+00
6.9000e-01	3.7840e+00
7.0000e-01	3.7720e+00
7.1000e-01	3.7590e+00
7.2000e-01	3.7480e+00
7.3000e-01	3.7370e+00
7.4000e-01	3.7270e+00
7.5000e-01	3.7170e+00
7.6000e-01	3.7080e+00
7.7000e-01	3.6990e+00
7.8000e-01	3.6910e+00
7.9000e-01	3.6830e+00
8.0000e-01	3.6750e+00
8.1000e-01	3.6680e+00
8.2000e-01	3.6610e+00
8.3000e-01	3.6540e+00
8.4000e-01	3.6470e+00
8.5000e-01	3.6410e+00
8.6000e-01	3.6350e+00
8.7000e-01	3.6300e+00
8.8000e-01	3.6240e+00
8.9000e-01	3.6190e+00
9.0000e-01	3.6140e+00
9.1000e-01	3.6090e+00
9.2000e-01	3.6040e+00
9.3000e-01	3.6000e+00
9.4000e-01	3.5950e+00
9.5000e-01	3.5910e+00
